,VA,AV,BA,FI,HS,IM
345,0.35978037,0.07615808,0.04859822,0.11397653,0.09712493,0.30436188
346,0.22167014,0.18798448,0.1392845,0.1473772,0.18552482,0.118158825
347,0.25880912,0.119948,0.2132387,0.2297196,0.08256845,0.09571619
348,0.21940342,0.22465727,0.3026792,0.102008455,0.06080753,0.09044411
349,0.38470274,0.21110943,0.0948692,0.07928191,0.20289342,0.027143287
350,0.334628,0.07856236,0.0378143,0.22427236,0.2519988,0.072724245
351,0.06280775,0.18004636,0.23126616,0.20504904,0.21293645,0.107894264
352,0.43740687,0.14439146,0.16222055,0.13945365,0.03927426,0.077253126
353,0.0713431,0.08317273,0.21670042,0.25911555,0.1398711,0.22979711
354,0.31585827,0.14374478,0.16878593,0.24424438,0.06284124,0.064525396
355,0.23446515,0.1512675,0.22901839,0.13626723,0.1191889,0.12979287
